datum;nkp;rlm;slp
2016-07-06 00:00:00,000;1257209,4730632;999273,58628703;257935,88677617
2016-07-07 00:00:00,000;1912001,8853157;1667661,22631922;244340,65899648
2016-07-08 00:00:00,000;2040241,9851849;1815840,70034028;224401,28484462
2016-07-09 00:00:00,000;1932275,7207537;1709306,00409822;222969,71665548
2016-07-10 00:00:00,000;2008280,1208074;1798632,25795674;209647,86285066
2016-07-11 00:00:00,000;2158456,8103917;1954309,12405569;204147,68633601
2016-07-12 00:00:00,000;723241,1311734;468538,20787011;254702,92330329
2016-07-13 00:00:00,000;697779,8634912;421965,80704002;275814,05645118
2016-07-14 00:00:00,000;945178,0693887;681245,7730752;263932,2963135
2016-07-15 00:00:00,000;2096505,4328808;1819978,202556;276527,2303248
2016-07-16 00:00:00,000;2041572,2492121;1805363,05782249;236209,19138961
2016-07-17 00:00:00,000;2044215,9999399;1809828,60109668;234387,39884322
2016-07-18 00:00:00,000;2321737,0861665;2085143,63407065;236593,45209585
2016-07-19 00:00:00,000;756949,0405821;501570,29020005;255378,75038205
2016-07-20 00:00:00,000;640021,2538722;423616,63458045;216404,61929175
2016-07-21 00:00:00,000;863307,1364094;661834,07366013;201473,06274927
2016-07-22 00:00:00,000;2076118,9695465;1876507,38872274;199611,58082376
2016-07-23 00:00:00,000;2181468,6189192;1987594,01010075;193874,60881845
2016-07-24 00:00:00,000;2098547,8615188;1899495,84569463;199052,01582417
2016-07-25 00:00:00,000;1074159,0717399;841594,83641682;232564,23532308
2016-07-26 00:00:00,000;608426,5481373;385681,52169828;222745,02643902
2016-07-27 00:00:00,000;874945,7141844;616708,16829444;258237,54588996
2016-07-28 00:00:00,000;859552,2320925;663837,65020236;195714,58189014
2016-07-29 00:00:00,000;1006643,7841128;812068,70845347;194575,07565933
2016-07-30 00:00:00,000;1858511,8513701;1664161,75335117;194350,09801893
2016-07-31 00:00:00,000;1886461,4980317;1681012,23646731;205449,26156439
2016-08-01 00:00:00,000;2145132,3828;1908486,712518096;236645,670281904
2016-08-02 00:00:00,000;2119665,351408;1872258,3874176;247406,9639904
2016-08-03 00:00:00,000;1221583,259688;998091,0662808;223492,1934072
2016-08-04 00:00:00,000;1942855,942104;1720028,64137472;222827,30072928
2016-08-05 00:00:00,000;2154213,494664;1929895,05043976;224318,44422424
2016-08-06 00:00:00,000;2105024,756472;1876873,4091348;228151,3473372
2016-08-07 00:00:00,000;1743783,342312;1516095,35562144;227687,98669056
2016-08-08 00:00:00,000;1986727,187808;1749419,69250048;237307,49530752
2016-08-09 00:00:00,000;1191165,280536;946316,26770384;244849,01283216
2016-08-10 00:00:00,000;1066260,030528;757075,49264424;309184,53788376
2016-08-11 00:00:00,000;2051749,025832;1747301,168184;304447,857648
2016-08-12 00:00:00,000;2319730,638192;2020729,45266192;299001,18553008
2016-08-13 00:00:00,000;1969378,56192;1732050,80386008;237327,75805992
2016-08-14 00:00:00,000;555466,18776;318072,62646984;237393,56129016
2016-08-15 00:00:00,000;658571,658624;400409,51479848;258162,14382552
2016-08-16 00:00:00,000;680699,976;413515,69020432;267184,28579568
2016-08-17 00:00:00,000;686293,708056;402927,21982128;283366,48823472
2016-08-18 00:00:00,000;759833,00844;476440,36780824;283392,64063176
2016-08-19 00:00:00,000;655788,06876;397267,39051824;258520,67824176
2016-08-20 00:00:00,000;558112,123272;310890,42596832;247221,69730368
2016-08-21 00:00:00,000;562971,210648;305350,32609576;257620,88455224
2016-08-22 00:00:00,000;696981,479832;423679,73291952;273301,74691248
2016-08-23 00:00:00,000;648328,680912;389019,39126336;259309,28964864
2016-08-24 00:00:00,000;626998,14804;381714,4231956;245283,7248444
2016-08-25 00:00:00,000;653039,91984;419871,14180088;233168,77803912
